Cost Center,Program Code,Grant,Budget,Big Bet,Priority Place,Country,,
CC427 Corporate Renewables,41300002 Climate Business Engagement,GR003503.01 3% Solution- 427,"86,580.08 ",Private Sector ,,,,
CC427 Corporate Renewables,41300007 Renewable Thermal Collaborative,GR010530.01 RTC: C2ES Cut Carbon Emissions - 427,"80,812.19 ",Private Sector ,,,,
CC427 Corporate Renewables,41300007 Renewable Thermal Collaborative,GR012974.01 CIF Decarb of the U.S. Industrial Sector - 427,"68,538.58 ",Private Sector ,,,,
CC427 Corporate Renewables,41300007 Renewable Thermal Collaborative,GR013331.01 DGA - RTC FY24-25 - 427,"43,290.04 ",Private Sector ,,,,
CC427 Corporate Renewables,41300007 Renewable Thermal Collaborative,GR011097.01 RTC Bucket - 427,"40,401.80 ",Private Sector ,,,,
CC427 Corporate Renewables,41300002 Climate Business Engagement,GR000011.01 Uncovered Salaries and Expenses,"31,519.36 ",Private Sector ,,,,
CC427 Corporate Renewables,41300007 Renewable Thermal Collaborative,GR010808.01 Proctor and Gamble: Corporate Renewables - 427,"25,515.14 ",Private Sector ,,,,
CC427 Corporate Renewables,41300007 Renewable Thermal Collaborative,GR011868.01 DGA RTC market research,"20,000.00 ",Private Sector ,,,,
CC427 Corporate Renewables,41300007 Renewable Thermal Collaborative,GR000011.02 Restricted Coverage Identified,(0.00),Private Sector ,,,,
CC427 Corporate Renewables,8C000171 Corporate Renewables,GR000011.01 Uncovered Salaries and Expenses,"15,644.41 ",Private Sector ,,,,
CC427 Corporate Renewables,8C000204 We Are Still In (WASI),GR000011.01 Uncovered Salaries and Expenses,"28,565.47 ",Other,,,,
CC428 GFTN,9Z136500 Global Forest & Trade Network (GFTN),"GR000732.01 Deforestation and forest degradation: Revisiting drivers, trends and responses” - 428 - 8.5% (inactive)","95,238.10 ",Private Sector ,,,,
CC430 ReSource Plastics,43043000 ReSource Plastics,GR011804.01 ABA Phase II PSE Plastics - 430,"1,311,717.00 ",Other,,,,
CC430 ReSource Plastics,43043000 ReSource Plastics,GR0035A9.01 ReSource Membership - 430,"527,879.75 ",Other,,,,
CC430 ReSource Plastics,43043000 ReSource Plastics,GR012130.01 Circular Solutions to Plastics Pollution Component 1 - 430,"373,584.67 ",Other,,,,
CC430 ReSource Plastics,43043000 ReSource Plastics,GR012130.03 Circular Solutions Component 3 - 430,"355,787.19 ",Other,,,,
CC430 ReSource Plastics,43043000 ReSource Plastics,GR003333.01 BFA - 430,"284,628.82 ",Other,,,,
CC430 ReSource Plastics,43900000 PSE Communications,GR011804.01 ABA Phase II PSE Plastics - 430,"203,123.27 ",Private Sector ,,,,
CC430 ReSource Plastics,43043000 ReSource Plastics,GR012130.02 Circular Solutions Component 2,"50,740.72 ",Other,,,,
CC430 ReSource Plastics,43043000 ReSource Plastics,GR012847.01 TCCF Plastic Cities Plastics - 430,"43,775.31 ",Other,,,,
CC430 ReSource Plastics,43043000 ReSource Plastics,GR012130.04 Circular Solutions PMC - 430,"27,203.62 ",Other,,,,
CC430 ReSource Plastics,43043000 ReSource Plastics,GR000011.02 Restricted Coverage Identified,"22,098.89 ",Other,,,,
CC430 ReSource Plastics,43900000 PSE Communications,GR000011.02 Restricted Coverage Identified,"19,696.10 ",Private Sector ,,,,
CC430 ReSource Plastics,43043000 ReSource Plastics,GR013209.01 Aldi Plastics - 430,"12,656.46 ",Other,,,,
CC430 ReSource Plastics,43043000 ReSource Plastics,GR012994.01 WWF Norway Secondment Plastics Advisor - 430,"8,207.87 ",Other,,,,
CC432 Policy and Government Affairs,43200000 US Government Affairs,GR000001.01 Program Unrestricted - cc000,"2,079,013.59 ",Other,,,,
CC432 Policy and Government Affairs,43043001 Plastics Policy,GR011732.01 ABA - Curbing Global Plastics Pollution Phase II - 432,"347,806.29 ",Other,,,,
CC432 Policy and Government Affairs,43000012 Federal Legislative Lobbying (Congress) – Direct Contact,GR000001.01 Program Unrestricted - cc000,"270,000.00 ",Other,,,,
CC432 Policy and Government Affairs,43200000 US Government Affairs,GR013151.01 RPA - ETF - Phasing out U.S. Fossil Fuel - 432,"70,342.60 ",Other,,,,
CC432 Policy and Government Affairs,44200033 Cost Share for Recharge Pakistan (unrestricted),GR000001.01 Program Unrestricted - cc000,"11,729.37 ",Other,,,,
CC432 Policy and Government Affairs,40300000 SAS Technical Support,GR000001.01 Program Unrestricted - cc000,"1,241,115.05 ",Other,,,,
CC433 Markets Institute,9Z139710 Market Institute,GR011623.01 Moore Codex CC433 0%,"1,257,401.28 ",Private Sector ,,,,
CC433 Markets Institute,9Z139710 Market Institute,GR011464.01 Tapestry Deforestation Conversion-Free Leather CC433 15.5%,"967,195.58 ",Private Sector ,,,,
CC433 Markets Institute,9Z139710 Market Institute,GR000011.01 Uncovered Salaries and Expenses,"192,414.09 ",Private Sector ,,,,
CC433 Markets Institute,9Z139710 Market Institute,GR011623.07 Moore CC433 12.5% interest,"182,457.41 ",Private Sector ,,,,
CC433 Markets Institute,9Z139710 Market Institute,GR000001.03 Program Enhancements - Unrestricted,"150,000.00 ",Private Sector ,,,,
CC433 Markets Institute,9Z139710 Market Institute,GR000011.02 Restricted Coverage Identified,"87,245.34 ",Private Sector ,,,,
CC433 Markets Institute,9Z139710 Market Institute,GR012193.01 WWF Switzerland Push Project - CC433 12.5%,"74,449.58 ",Private Sector ,,,,
CC433 Markets Institute,9Z139710 Market Institute,GR011623.02 Moore CODEX CC433 12.5%,"23,673.46 ",Private Sector ,,,,
CC433 Markets Institute,9Z139710 Market Institute,GR010355.01 Next California Bucket,"21,645.03 ",Private Sector ,,,,
CC433 Markets Institute,48000020 CFA Management Unit Ph 2,GR000011.02 Restricted Coverage Identified,"17,540.45 ",Private Sector ,,,,
CC433 Markets Institute,PRGMCORE Program Core,GR000011.01 Uncovered Salaries and Expenses,"1,432,888.15 ",Private Sector ,,,,
CC433 Markets Institute,PRGMCORE Program Core,GR000011.01 Uncovered Salaries and Expenses,"229,507.25 ",Other,,,,
CC433 Markets Institute,PRGMCORE Program Core,GR000011.01 Uncovered Salaries and Expenses,"44,193.59 ",Resilience,,,,
CC435 Fisheries,9Z127240 BKI-US,"GR011881.01 Leatherbacks In the Kei Islands, Indonesia-Phase 2 CC435","106,248.29 ",Landscape,Indonesia and Southern Pacific Islands,,,
CC435 Fisheries,9Z127240 BKI-US,"GR011832.01 Leatherback in the Maluku , Indonesia-Phase 2 CC435","96,343.81 ",Landscape,Indonesia and Southern Pacific Islands,,,
CC435 Fisheries,ID020203 Coastal Ecosystem Conserved Areas,GR011419.05 Sall - Chilean Seascapes - 435,"10,197.96 ",Landscape,Eastern Pacific,Chile,,
CC435 Fisheries,9S081111 Coastal Fisheries Initiative,GR007803.01 EAFM in Eastern Indonesia Project - 435,"1,500,000.00 ",Resilience,Indonesia and Southern Pacific Islands,,,
CC436 Forest Trade,9Z136800 GFTN-NA,GR003C05.01 HP - Forest Positive Collaboration and GFTN-NA Participation - 436a,"1,723,842.89 ",Private Sector ,,Brazil,,
CC436 Forest Trade,9Z136830 Forest Forward - Advise Implement - WS2,GR011345.01 HPI - Global Forests Protection - 436,"1,042,595.56 ",Private Sector ,,,,
CC436 Forest Trade,9Z136800 GFTN-NA,GR0035D1.01 HP - Forest Positive Collaboration and GFTN-NA Participation - 436b,"791,768.38 ",Private Sector ,Amazon,Brazil,,
CC436 Forest Trade,9Z136813 Jurisdictional Approaches,GR011826.01 Sylvamo — Forests Forward Participatory Phase - 436,"790,295.78 ",Private Sector ,,,,
CC436 Forest Trade,9Z136812 Forest Positive – Science,GR000011.02 Restricted Coverage Identified,"356,515.07 ",Private Sector ,,,,
CC436 Forest Trade,9Z136800 GFTN-NA,GR003118.01 NAFTN - 436,"338,825.55 ",Private Sector ,"Indonesia and Southern Pacific Islands, Greater Mekong ","Indo, Vietnam",,
CC436 Forest Trade,9Z136813 Jurisdictional Approaches,GR012250.01 Forests Science Based Targets - Phase II - 436,"281,968.38 ",Private Sector ,,,,
CC436 Forest Trade,9Z136800 GFTN-NA,GR003947.01 FSC Certified Paper and Tissue Campain - 436,"246,770.24 ",Private Sector ,,,,
CC436 Forest Trade,9Z136812 Forest Positive – Science,GR013115.01 RPA - Science-Based Targets Network - Land Characterization Factors - 436,"204,999.88 ",Private Sector ,,,,
CC436 Forest Trade,9Z136800 GFTN-NA,GR000011.01 Uncovered Salaries and Expenses,"189,170.86 ",Private Sector ,,,,
CC436 Forest Trade,9Z136800 GFTN-NA,GR003500.01 New Generations Plantations Project - 436,"158,805.19 ",Private Sector ,Greater Mekong,Vietnam,,
CC436 Forest Trade,9Z124505 Network Rubber Specialist,GR000011.01 Uncovered Salaries and Expenses,"155,225.59 ",Other,,,,
CC436 Forest Trade,9Z136812 Forest Positive – Science,GR000011.01 Uncovered Salaries and Expenses,"140,122.79 ",Private Sector ,,,,
CC436 Forest Trade,9Z136800 GFTN-NA,"GR0035F3.02 - Lowe's — Forests, Climate and People - Year 5 - 436 - (15.22%)","125,096.53 ",Private Sector ,,,,
CC436 Forest Trade,9Z136812 Forest Positive – Science,GR003C05.01 HP - Forest Positive Collaboration and GFTN-NA Participation - 436a,"119,626.88 ",Private Sector ,Amazon,Brazil,,
CC436 Forest Trade,9Z136810 HP - Forest Positive - Comms,GR003C05.01 HP - Forest Positive Collaboration and GFTN-NA Participation - 436a,"104,390.68 ",Private Sector ,Amazon,Brazil,,
CC436 Forest Trade,9Z136813 Jurisdictional Approaches,GR003596.01 Forests Science Based Targets - 436,"94,728.55 ",Private Sector ,,,,
CC436 Forest Trade,9Z136820 Forest Forward - Feasibility - WS1,GR011345.01 HPI - Global Forests Protection - 436,"69,606.40 ",Private Sector ,,,,
CC436 Forest Trade,9Z136800 GFTN-NA,GR000011.02 Restricted Coverage Identified,"52,742.69 ",Private Sector ,,,,
CC436 Forest Trade,9Z136812 Forest Positive – Science,GR0035B6.04 Advancing Sustainability in Global Supply Chains - 436,"47,200.58 ",Private Sector ,,,,
CC436 Forest Trade,9Z136800 GFTN-NA,GR013207.01 Aldi — Risk Assessment and Pilot Environmental Sustainability Strategy Support - 436,"34,127.03 ",Private Sector ,,,,
CC436 Forest Trade,9Z136812 Forest Positive – Science,GR0035D1.01 HP - Forest Positive Collaboration and GFTN-NA Participation - 436b,"34,111.12 ",Private Sector ,,,,
CC436 Forest Trade,9Z136810 HP - Forest Positive - Comms,GR0035D1.01 HP - Forest Positive Collaboration and GFTN-NA Participation - 436b,"29,786.39 ",Private Sector ,,,,
CC436 Forest Trade,9Z136800 GFTN-NA,"GR0035F3.01 Lowe's Forests, Climate, People Forests - 436","12,570.55 ",Private Sector ,,,,
CC436 Forest Trade,9Z136812 Forest Positive – Science,"GR010848.01 Walmart Stores, Inc. – Advancing Sustainability - 436","8,959.22 ",Private Sector ,,,,
CC436 Forest Trade,9Z136812 Forest Positive – Science,GR011618.01 KC — Transformational Business — 2022-2026 - 436,"4,653.46 ",Private Sector ,,,,
CC436 Forest Trade,43000012 Federal Legislative Lobbying (Congress) – Direct Contact,GR003118.01 NAFTN - 436,"3,936.48 ",Other,,,,
CC439 Corporate Relationship Management,22300000 Employee Giving,GR000011.01 Uncovered Salaries and Expenses,"183,822.77 ",Private Sector ,,,,
CC439 Corporate Relationship Management,21500001 Consumer Engagement,GR000011.01 Uncovered Salaries and Expenses,"146,931.17 ",Private Sector ,,,,
CC439 Corporate Relationship Management,21500001 Consumer Engagement,GR010528.01 RB Airwick - Grasslands Restoration - PSE RM - 439,"55,790.99 ",Private Sector ,,,,
CC439 Corporate Relationship Management,21500001 Consumer Engagement,GR011657.01 Finish Reckitt Water RGRB PSE RM - 439,"29,420.37 ",Private Sector ,,,,
CC439 Corporate Relationship Management,22300000 Employee Giving,GR000128.01 PSE Corporate Employee Engagement Bucket - 439,"17,500.00 ",Private Sector ,,,,
CC439 Corporate Relationship Management,21500001 Consumer Engagement,GR012339.01 WWF France Dior Jaguars- 439,"10,759.69 ",Private Sector ,,,,
CC439 Corporate Relationship Management,22300000 Employee Giving,GR012411.01 Deloitte conservation Focused EE PSE - 439,"3,541.12 ",Private Sector ,,,,
CC439 Corporate Relationship Management,22300000 Employee Giving,GR010654.01 Deloitte — Climate Strategy and EE RM - 439,"3,333.33 ",Private Sector ,,,,
CC439 Corporate Relationship Management,21500001 Consumer Engagement,GR012533.01 Dior — Jaguar - PSE RM - 439,"2,383.04 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR000011.01 Uncovered Salaries and Expenses,"1,167,046.03 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR000011.02 Restricted Coverage Identified,"524,483.45 ",Private Sector ,,,,
CC439 Corporate Relationship Management,43900000 PSE Communications,GR011347.01 HPI - Global Forests Protection - Comm - 439,"327,032.07 ",Private Sector ,,,,
CC439 Corporate Relationship Management,43900000 PSE Communications,GR000011.01 Uncovered Salaries and Expenses,"249,574.34 ",Private Sector ,,,,
CC439 Corporate Relationship Management,21500000 Corporate Philanthropy,GR000011.01 Uncovered Salaries and Expenses,"235,771.67 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR011110.01 HPI - Global Forests Protection - PSE RM - CE - 439,"201,628.61 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR000011.03 Institutional Commitments,"186,053.74 ",Private Sector ,,,,
CC439 Corporate Relationship Management,43900001 PSE Financial Sector,GR000011.03 Institutional Commitments,"175,536.78 ",Finance,,,,
CC439 Corporate Relationship Management,43900002 PSE Due Diligence,GR000011.03 Institutional Commitments,"153,875.00 ",Other,,,,
CC439 Corporate Relationship Management,21500000 Corporate Philanthropy,GR011970.01 Apple NbS PSE RM - 439,"113,480.55 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR012242.01 Google/Tides Fdn PSE- Mangroves - CC439,"52,221.82 ",Private Sector ,,,,
CC439 Corporate Relationship Management,43900002 PSE Due Diligence,GR000011.01 Uncovered Salaries and Expenses,"51,000.00 ",Other,,,,
CC439 Corporate Relationship Management,43900000 PSE Communications,GR011103.01 TCCC — Partnership - Phase III - Comms - 439,"32,377.34 ",Private Sector ,,,,
CC439 Corporate Relationship Management,21500000 Corporate Philanthropy,GR011743.01 International Paper - SBTN PSE - CC439,"31,542.83 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR013200.01 Aldi PSE RM - 439,"27,446.88 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR013199.01 Aldi Bio Risk Filter PSE - 439,"26,035.89 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR012827.01 Walmart — ARPA NbS-OP - 439,"24,693.39 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300006 Sustainability R&D,GR012851.01 Deloitte Risk Filter PSE- 439,"20,181.82 ",Private Sector ,,,,
CC439 Corporate Relationship Management,21500000 Corporate Philanthropy,GR011825.01 Sylvamo Forests PSE Phil RM - 439,"17,268.05 ",Private Sector ,,,,
CC439 Corporate Relationship Management,21500000 Corporate Philanthropy,GR012848.01 TCCF Plastic Smart Cities PSE RM - 439,"14,500.00 ",Private Sector ,,,,
CC439 Corporate Relationship Management,21500000 Corporate Philanthropy,GR011620.01 Kimberly Clark Trans Philanthropy RM - 439,"13,293.65 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR012291.01 Walmart Landscape Monitoring PSE RM - 439,"12,856.89 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR011102.01 TCCC — Partnership - Phase III - RM Transformative - 439,"11,998.92 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR012691.01 Salesforce Madagascar PSE RM - 439,"8,521.56 ",Private Sector ,,,,
CC439 Corporate Relationship Management,21500000 Corporate Philanthropy,GR011655.01 Pacific Life Cetacean Bycatch PSE RM - 439,"7,938.01 ",Private Sector ,,,,
CC439 Corporate Relationship Management,21500000 Corporate Philanthropy,GR013037.01 TCCF Yucatan PSE RM - 439,"7,919.48 ",Private Sector ,,,,
CC439 Corporate Relationship Management,43900000 PSE Communications,GR012339.01 WWF France Dior Jaguars- 439,"7,368.57 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR012254.01 Yum DCF CBN PSE RM - 439,"5,903.47 ",Private Sector ,,,,
CC439 Corporate Relationship Management,21500000 Corporate Philanthropy,GR011104.01 TCCC — Partnership - Phase III - Philanthropy - 439,"5,497.84 ",Private Sector ,,,,
CC439 Corporate Relationship Management,43900000 PSE Communications,GR011619.01 Kimberly Clark Trans Comms - 439,"5,050.50 ",Private Sector ,,,,
CC439 Corporate Relationship Management,21500000 Corporate Philanthropy,GR010855.01 PepsiCo — SCRA RM - 439,"5,048.71 ",Private Sector ,,,,
CC439 Corporate Relationship Management,43900000 PSE Communications,GR013232.01 Yum PSE Comms - 439,"5,000.00 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR011859.01 Macys Corp Water PSE RM - 439,"4,675.32 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR013137.01 IHG - CBN - PSE RM - 439,"4,329.00 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR011526.01 General Mills Watershed Climate RM - 439,"3,051.95 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR003415.01 P&G Partnership Management - 439,"3,000.00 ",Private Sector ,,,,
CC439 Corporate Relationship Management,43900002 PSE Due Diligence,GR011795.01 PSE Due Diligence Bucket - 439,"2,375.10 ",Other,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR012683.01 P and G Great Cinn Watershed MX PSE RM - 439,"2,219.11 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR011091.01 P and G Amd 19 Advisory Councils - 439,"2,164.50 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR013230.01 Meta Platforms - CBN - RM - 439,"2,164.50 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR013241.01 CVS CBN PSE RM - 439,"2,164.50 ",Private Sector ,,,,
CC439 Corporate Relationship Management,41300003 Business Transformation,GR012200.01 AHLA PSE RM - 439,"1,010.10 ",Private Sector ,,,,
CC439 Corporate Relationship Management,21500000 Corporate Philanthropy,GR011216.01 J and J EE RM - 439,836.96 ,Private Sector ,,,,
CC439 Corporate Relationship Management,21500000 Corporate Philanthropy,GR012439.01 Pfizer Deforestation Phil PSE RM - 439,680.35 ,Private Sector ,,,,
CC439 Corporate Relationship Management,41300006 Sustainability R&D,GR000011.01 Uncovered Salaries and Expenses,"(16,181.82)",Private Sector ,,,,
CC442 Freshwater,44200041 Connected Rivers of Resilience - General,GR010662.03 HeCo Colombia CC442,"46,065.54 ",Resilience,Amazon,Colombia ,,
CC442 Freshwater,PRGMCORE Program Core,GR000011.01 Uncovered Salaries and Expenses,"269,548.75 ",Resilience,,,,
CC442 Freshwater,PRGMCORE Program Core,GR000011.01 Uncovered Salaries and Expenses,"150,702.51 ",Private Sector ,,,,
CC442 Freshwater,44200000 Freshwater Management,GR000011.01 Uncovered Salaries and Expenses,"55,255.38 ",Resilience,,,,
CC442 Freshwater,44000002 Freshwater TDP,GR000001.02 Goal Core Allocation - Unrestricted,"12,000.00 ",Resilience,,,,
CC442 Freshwater,44200020 Corporate Water Stewardship - General,GR000001.02 Goal Core Allocation - Unrestricted,"3,800.00 ",Private Sector ,,,,
CC442 Freshwater,PRGMCORE Program Core,GR000011.01 Uncovered Salaries and Expenses,"3,139.58 ",Infrastructure,,,,
CC443 Public & Private Finance,44300020 CFMI Management Unit Ph 4,GR013103.02 Moore DCF Finance Renewal CC443 12.5%,"60,135.22 ",Private Sector ,,Paraguay,,
CC443 Public & Private Finance,12189003 Awareness Raising,GR012189.03 Enabling and Scaling Up Nature-Related Financial Disclosures - UNDP - IPA CC443 Markets,"47,035.75 ",Private Sector ,,,,
CC443 Public & Private Finance,44300020 CFMI Management Unit Ph 2,GR000011.01 Uncovered Salaries and Expenses,"44,110.99 ",Private Sector ,,,,
CC443 Public & Private Finance,44300020 CFMI Management Unit Ph 5,GR013202.01 Aldi Markets CC443 15.5%,"42,503.74 ",Private Sector ,,,,
CC443 Public & Private Finance,13103001 DCF Finance Renewal Outcome 1 - Paraguay,GR013103.01 Moore DCF Finance Renewal CC443 0%,"35,000.00 ",Private Sector ,,Paraguay,,
CC443 Public & Private Finance,13103001 DCF Finance Renewal Outcome 1 - Paraguay,GR013103.02 Moore DCF Finance Renewal CC443 12.5%,"17,886.03 ",Private Sector ,,Paraguay,,
CC443 Public & Private Finance,44300020 CFMI Management Unit Ph 3,GR000011.02 Restricted Coverage Identified,"15,498.95 ",Private Sector ,,,,
CC443 Public & Private Finance,48000020 CFA Management Unit Ph 3,GR000011.02 Restricted Coverage Identified,"15,039.40 ",Private Sector ,,,,
CC443 Public & Private Finance,12189001 Technical Development,GR012189.03 Enabling and Scaling Up Nature-Related Financial Disclosures - UNDP - IPA CC443 Markets,"11,016.84 ",Private Sector ,,,,
CC443 Public & Private Finance,10519001 Private Finance Outcome 1 - Banks & DCF,GR011161.01 Moore Baselining for Financial Institutions CC443 0%,"10,000.00 ",Private Sector ,,,,
CC444 Program Management & Communications - Wildlife,PRGMCORE Program Core,GR000011.01 Uncovered Salaries and Expenses,"660,857.15 ",Landscape,,,,
CC444 Program Management & Communications - Wildlife,9F073000 Conservation Tourism,GR000011.03 Institutional Commitments,"540,790.58 ",Other,,,,
CC444 Program Management & Communications - Wildlife,PRGMCORE Program Core,GR000011.01 Uncovered Salaries and Expenses,"314,987.81 ",Resilience,,,,
CC444 Program Management & Communications - Wildlife,US087000 Pollinators & Pesticides,GR012854.01 Supporting Farmers to Move Away from Neonicotinoid Pesticides,"255,674.60 ",Other,,,,
CC444 Program Management & Communications - Wildlife,PRGMCORE Program Core,GR000011.01 Uncovered Salaries and Expenses,"102,137.30 ",Other,,,,
CC444 Program Management & Communications - Wildlife,9F204201 Wildlife Communications,GR000011.01 Uncovered Salaries and Expenses,"95,831.85 ",Landscape,,,,
CC444 Program Management & Communications - Wildlife,9F204201 Wildlife Communications,GR000925.07 Northern Great Plains Bucket - 444 15.5%,"35,769.38 ",Resilience,,,,
CC444 Program Management & Communications - Wildlife,40400000 Strategic Initiative Team General,GR000011.01 Uncovered Salaries and Expenses,"16,116.18 ",Other,,,,
CC444 Program Management & Communications - Wildlife,PRGMCORE Program Core,GR000011.01 Uncovered Salaries and Expenses,"7,274.88 ",Private Sector ,,,,
CC445 Climate Change (US Program),BEF00009 Bezos – Coordination,GR010444.01 Bezos Earth Fund Coordination/Science - 445,"125,302.59 ",Resilience,Amazon ,Peru,,
CC445 Climate Change (US Program),BEF00016 Bezos - Coordination - Comms,GR010444.01 Bezos Earth Fund Coordination/Science - 445,"12,833.68 ",Resilience,"SWIO, Eastern Pacific",,,
CC445 Climate Change (US Program),8C000170 US Climate Project,GR000011.02 Restricted Coverage Identified,"477,752.07 ",Private Sector ,,,,
CC445 Climate Change (US Program),8C000170 US Climate Project,GR000011.02 Restricted Coverage Identified,"345,420.52 ",Resilience,,,,
CC445 Climate Change (US Program),8C000170 US Climate Project,GR000011.02 Restricted Coverage Identified,"324,481.14 ",Other,,,,
CC445 Climate Change (US Program),8C000170 US Climate Project,GR000011.02 Restricted Coverage Identified,"29,007.41 ",Infrastructure,,,,
CC445 Climate Change (US Program),8C000170 US Climate Project,GR000011.02 Restricted Coverage Identified,"8,985.96 ",Finance,,,,
CC446 Climate Finance,8C000173 Climate Finance General,GR000011.01 Uncovered Salaries and Expenses,"79,229.97 ",Finance,,,,
CC446 Climate Finance,9Z140050 Apple NBSOP,GR011968.01 Apple Inc - Nature-Based Solutions Origination Platform: Climate Finance - 446,"228,886.83 ",Resilience,,,,
CC446 Climate Finance,9Z140050 Apple NBSOP,GR000011.01 Uncovered Salaries and Expenses,"19,737.01 ",Resilience,,,,
CC447 Climate Policy,8C000204 We Are Still In (WASI),GR012229.01 Bloomberg Philanthropies - AIAI 2023-2026 - 447,"2,634,016.92 ",Other,,,,
CC447 Climate Policy,8C000204 We Are Still In (WASI),GR000011.01 Uncovered Salaries and Expenses,"197,884.06 ",Other,,,,
CC447 Climate Policy,8C000204 We Are Still In (WASI),GR011170.02 Bloomberg/AIAI COP26 Support - 447,510.50 ,Other,,,,
CC448 Renewable Energy Transition,8C000174 Green Energy Transition,GR000011.01 Uncovered Salaries and Expenses,"255,760.75 ",Infrastructure,,,,
CC449 Greater Mekong,9S073602 Asian Elephants – Greater Mekong,GR000336.10 Protect Elephants - Asian Elephants Greater Mekong - 449 - 15.5%,"262,272.02 ",Landscape,Greater Mekong,,,
CC449 Greater Mekong,9S214000 Asian Greater One-Horned Rhinos,GR000011.01 Uncovered Salaries and Expenses,"14,439.99 ",Landscape,Greater Mekong,,,
CC449 Greater Mekong,VN001900 Vietnam BCA & STW Support,GR000011.03 Institutional Commitments,"10,000.00 ",Landscape,Greater Mekong,,,
CC449 Greater Mekong,VN001800 Counter Wildlife Trafficking in Vietnam,GR000001.90 Federal Award Suspension,"8,186.75 ",Landscape,Greater Mekong,,,
CC449 Greater Mekong,9S073602 Asian Elephants – Greater Mekong,GR000011.02 Restricted Coverage Identified,"6,456.95 ",Landscape,Greater Mekong,,,
CC449 Greater Mekong,9S073602 Asian Elephants – Greater Mekong,GR000011.01 Uncovered Salaries and Expenses,"5,976.02 ",Landscape,Greater Mekong,,,
CC449 Greater Mekong,9S073602 Asian Elephants – Greater Mekong,GR000336.01 Protect Elephants - 511,"3,174.76 ",Landscape,Greater Mekong,,,
CC449 Greater Mekong,9Z140266 Tigers – Thailand DTL,GR0035B1.04 Discovery Communications - Project CAT - 449 - Thailand DTL,"256,913.20 ",Landscape,,,,
CC449 Greater Mekong,9Z140265 Tigers - Greater Mekong,GR004376.04 Tiger Conflict Management - K. Bishop - 449 - 15.5%,"17,367.82 ",Landscape,Greater Mekong,,,
CC449 Greater Mekong,9Z140265 Tigers - Greater Mekong,GR000011.02 Restricted Coverage Identified,"12,612.14 ",Landscape,Greater Mekong,,,
CC450 Tigers & Big Cats,ID218300 Thirty Hills Concession,GR000011.03 Institutional Commitments,"281,500.00 ",Landscape,Indonesia and Southern Pacific Islands,,,
CC450 Tigers & Big Cats,9Z140400 Jaguar Conservation,GR012359.01 Jaguar Corridor Strategy Bucket - 450 - 15.5%,"201,228.40 ",Landscape,Amazon,,,
CC450 Tigers & Big Cats,9S008400 Tigers - Eastern Himalayas,GR000320.02 Save the Tigers in the Wild - 450,"100,000.00 ",Landscape,Eastern Himalaya,,,
CC450 Tigers & Big Cats,9Z140400 Jaguar Conservation,GR000011.01 Uncovered Salaries and Expenses,"92,426.50 ",Landscape,Amazon,,,
CC450 Tigers & Big Cats,ID218300 Thirty Hills Concession,GR000011.02 Restricted Coverage Identified,"30,071.30 ",Landscape,Indonesia and Southern Pacific Islands,,,
CC450 Tigers & Big Cats,ID218300 Thirty Hills Concession,GR000011.01 Uncovered Salaries and Expenses,"22,553.47 ",Landscape,Indonesia and Southern Pacific Islands,,,
CC450 Tigers & Big Cats,9Z140400 Jaguar Conservation,GR000011.02 Restricted Coverage Identified,"8,642.41 ",Landscape,Amazon,,,
CC450 Tigers & Big Cats,ID218300 Thirty Hills Concession,GR000431.01 Thirty Hills Bucket - 450,"7,422.66 ",Landscape,Indonesia and Southern Pacific Islands,,,
CC450 Tigers & Big Cats,9S073403 Tigers - China,GR010532.01 Ferrara Candy for Tigers - 450,"5,956.60 ",Landscape,,China,,
